Measure,Location,Sex,Age,Cause,Risk,Metric,Year,Value,Upper,Lower
DALYs,Brazil,Male,All ages,All causes,Ambient particulate matter pollution,Number,1990,648201.2839,1109368.055,323360.3284
DALYs,Brazil,Female,All ages,All causes,Ambient particulate matter pollution,Number,1990,432889.9991,740739.1067,212458.5174
DALYs,Saint Lucia,Male,All ages,All causes,Ambient particulate matter pollution,Number,1990,590.2951099,1113.445666,214.7017201
DALYs,Saint Lucia,Female,All ages,All causes,Ambient particulate matter pollution,Number,1990,483.5322457,968.8774514,167.0247947
DALYs,Haiti,Male,All ages,All causes,Ambient particulate matter pollution,Number,2019,38551.51657,77964.81732,14723.65042
DALYs,Haiti,Female,All ages,All causes,Ambient particulate matter pollution,Number,2019,32738.44291,66065.86127,12512.41732
DALYs,Mexico,Male,All ages,All causes,Ambient particulate matter pollution,Number,1990,484698.9709,743631.8012,279650.6958
DALYs,Mexico,Female,All ages,All causes,Ambient particulate matter pollution,Number,1990,378015.6236,587300.848,212144.2283
DALYs,Antigua and Barbuda,Male,All ages,All causes,Ambient particulate matter pollution,Number,2019,417.0498048,684.216317,177.3227884
DALYs,Antigua and Barbuda,Female,All ages,All causes,Ambient particulate matter pollution,Number,2019,389.1315512,626.2789626,159.3565121
DALYs,Peru,Male,All ages,All causes,Ambient particulate matter pollution,Number,2019,136125.7958,194232.467,90858.21653
DALYs,Peru,Female,All ages,All causes,Ambient particulate matter pollution,Number,2019,104961.8323,149424.1446,68895.36162
DALYs,Brazil,Male,All ages,All causes,Ambient particulate matter pollution,Number,2019,697076.3773,920729.7313,501193.756
DALYs,Brazil,Female,All ages,All causes,Ambient particulate matter pollution,Number,2019,526153.8394,697148.2246,379160.6842
DALYs,Suriname,Male,All ages,All causes,Ambient particulate matter pollution,Number,1990,2741.687144,5012.547835,1010.057932
DALYs,Suriname,Female,All ages,All causes,Ambient particulate matter pollution,Number,1990,1842.401032,3491.495775,635.5312796
DALYs,Colombia,Male,All ages,All causes,Ambient particulate matter pollution,Number,1990,148505.4426,249735.2193,71647.16406
DALYs,Colombia,Female,All ages,All causes,Ambient particulate matter pollution,Number,1990,108298.6116,189721.1512,53400.90937
DALYs,Cuba,Male,All ages,All causes,Ambient particulate matter pollution,Number,1990,67665.61926,116659.6504,28259.99445
DALYs,Cuba,Female,All ages,All causes,Ambient particulate matter pollution,Number,1990,49215.76772,87145.2602,19395.90716
DALYs,Uruguay,Male,All ages,All causes,Ambient particulate matter pollution,Number,1990,13878.91187,28089.80966,4486.472124
DALYs,Uruguay,Female,All ages,All causes,Ambient particulate matter pollution,Number,1990,7664.922459,15418.66133,2629.851187
DALYs,Barbados,Male,All ages,All causes,Ambient particulate matter pollution,Number,2019,2075.95548,3234.372735,1020.970846
DALYs,Barbados,Female,All ages,All causes,Ambient particulate matter pollution,Number,2019,2049.10049,3148.904582,1023.537823
DALYs,Argentina,Male,All ages,All causes,Ambient particulate matter pollution,Number,2019,175148.2163,242482.0701,114851.5329
DALYs,Argentina,Female,All ages,All causes,Ambient particulate matter pollution,Number,2019,121224.9912,170148.5085,76261.60731
DALYs,Puerto Rico,Male,All ages,All causes,Ambient particulate matter pollution,Number,1990,7380.986294,21795.60974,96.86550469
DALYs,Puerto Rico,Female,All ages,All causes,Ambient particulate matter pollution,Number,1990,5460.75026,16522.03049,88.60626628
DALYs,Mexico,Male,All ages,All causes,Ambient particulate matter pollution,Number,2019,615740.494,793102.9414,453353.2383
DALYs,Mexico,Female,All ages,All causes,Ambient particulate matter pollution,Number,2019,443558.5942,575115.2877,328433.5605
DALYs,Dominican Republic,Male,All ages,All causes,Ambient particulate matter pollution,Number,2019,70442.14097,124825.5949,33247.46291
DALYs,Dominican Republic,Female,All ages,All causes,Ambient particulate matter pollution,Number,2019,44571.79459,78597.74489,20100.47216
DALYs,Saint Lucia,Male,All ages,All causes,Ambient particulate matter pollution,Number,2019,1248.962804,2026.419022,603.5008557
DALYs,Saint Lucia,Female,All ages,All causes,Ambient particulate matter pollution,Number,2019,974.7698374,1524.299604,453.2419447
DALYs,Saint Kitts and Nevis,Male,All ages,All causes,Ambient particulate matter pollution,Number,1990,158.9995681,319.4132052,54.79192303
DALYs,Saint Kitts and Nevis,Female,All ages,All causes,Ambient particulate matter pollution,Number,1990,158.4818272,315.9512501,58.60915583
DALYs,Bermuda,Male,All ages,All causes,Ambient particulate matter pollution,Number,1990,237.0836139,604.0055016,56.06179809
DALYs,Bermuda,Female,All ages,All causes,Ambient particulate matter pollution,Number,1990,131.4547169,319.649701,36.34882652
DALYs,Dominican Republic,Male,All ages,All causes,Ambient particulate matter pollution,Number,1990,18930.78885,41433.03077,5989.741037
DALYs,Dominican Republic,Female,All ages,All causes,Ambient particulate matter pollution,Number,1990,13348.07125,30308.17754,4391.392019
DALYs,Cuba,Male,All ages,All causes,Ambient particulate matter pollution,Number,2019,79116.51829,127099.752,40063.26674
DALYs,Cuba,Female,All ages,All causes,Ambient particulate matter pollution,Number,2019,57396.535,93187.97754,28666.27254
DALYs,Uruguay,Male,All ages,All causes,Ambient particulate matter pollution,Number,2019,9390.358969,14534.44374,4616.808306
DALYs,Uruguay,Female,All ages,All causes,Ambient particulate matter pollution,Number,2019,6371.097947,9902.911988,3303.128766
DALYs,Panama,Male,All ages,All causes,Ambient particulate matter pollution,Number,2019,10881.7955,16170.17804,6362.208471
DALYs,Panama,Female,All ages,All causes,Ambient particulate matter pollution,Number,2019,7747.296426,11474.70256,4652.394877
DALYs,Panama,Male,All ages,All causes,Ambient particulate matter pollution,Number,1990,5687.151223,10512.06985,2677.543658
DALYs,Panama,Female,All ages,All causes,Ambient particulate matter pollution,Number,1990,3679.652559,6861.014464,1613.125665
DALYs,Colombia,Male,All ages,All causes,Ambient particulate matter pollution,Number,2019,189760.8525,263349.8667,133028.9839
DALYs,Colombia,Female,All ages,All causes,Ambient particulate matter pollution,Number,2019,158191.6115,213437.2725,109080.0003
DALYs,Suriname,Male,All ages,All causes,Ambient particulate matter pollution,Number,2019,4721.60771,7702.161794,2296.733178
DALYs,Suriname,Female,All ages,All causes,Ambient particulate matter pollution,Number,2019,3315.219885,5247.965013,1686.548477
DALYs,Guyana,Male,All ages,All causes,Ambient particulate matter pollution,Number,2019,7276.959581,12597.84802,3352.145924
DALYs,Guyana,Female,All ages,All causes,Ambient particulate matter pollution,Number,2019,5545.725834,9545.872821,2415.62599
DALYs,Jamaica,Male,All ages,All causes,Ambient particulate matter pollution,Number,2019,12943.81312,18688.92253,8084.136606
DALYs,Jamaica,Female,All ages,All causes,Ambient particulate matter pollution,Number,2019,11144.06976,16128.57554,7008.318708
DALYs,Guyana,Male,All ages,All causes,Ambient particulate matter pollution,Number,1990,6985.106579,13495.75485,2146.914834
DALYs,Guyana,Female,All ages,All causes,Ambient particulate matter pollution,Number,1990,4493.928058,8856.656251,1192.746405
DALYs,Dominica,Male,All ages,All causes,Ambient particulate matter pollution,Number,1990,307.9949295,582.8484046,115.0774357
